                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.7667,                 4.4456,                 3.9115,                0.45614,                0.02956,                0.00668,                0.00166,                 3.2426,                 4.1663,                 3.3215,             0.00030192,             0.00030192,             0.00030192
                      2,                 2.9664,                 3.6398,                 2.9545,                0.58823,                0.09718,                 0.0794,                0.02562,                 2.7749,                 3.2374,                 2.7586,             0.00059893,             0.00059893,             0.00059893
                      3,                 2.5522,                 3.1072,                 2.4863,                0.33957,                0.17229,                0.11525,                 0.0414,                 2.4738,                 3.1831,                 2.4313,             0.00088994,             0.00088994,             0.00088994
                      4,                 2.3135,                 2.7116,                 2.2222,                0.29538,                0.23285,                0.19725,                0.07747,                 2.3338,                 2.7305,                 2.2816,               0.000882,               0.000882,               0.000882
                      5,                 2.1736,                 2.4619,                  2.079,                0.39126,                0.30085,                0.28141,                0.10884,                 2.2482,                 2.3911,                 2.1725,               0.000873,               0.000873,               0.000873
                      6,                 2.0895,                 2.2715,                 1.9826,                0.34037,                 0.3463,                0.34258,                0.14788,                 2.1498,                 2.2755,                 2.0797,               0.000864,               0.000864,               0.000864
                      7,                  2.007,                 2.1057,                  1.893,                0.46998,                0.39364,                0.40471,                0.17835,                 2.0804,                 2.0596,                 2.0109,             0.00085501,             0.00085501,             0.00085501
                      8,                 1.9548,                  1.998,                 1.8452,                0.54896,                0.38359,                0.44118,                0.18679,                   2.12,                 1.8898,                 2.0196,             0.00084601,             0.00084601,             0.00084601
                      9,                  1.902,                 1.8726,                 1.7926,                0.54693,                0.43327,                 0.4531,                0.19925,                 2.0337,                 1.9163,                 1.9264,             0.00083701,             0.00083701,             0.00083701
                     10,                 1.8567,                 1.7866,                 1.7553,                0.61793,                 0.4456,                0.50109,                0.21852,                 2.0349,                 1.7962,                 1.9307,             0.00082801,             0.00082801,             0.00082801
                     11,                  1.824,                 1.7132,                 1.7148,                0.56708,                0.50033,                0.53866,                0.23505,                 2.0193,                 1.7427,                 1.9052,             0.00081901,             0.00081901,             0.00081901
                     12,                 1.7878,                 1.6522,                 1.6873,                0.52778,                0.51017,                0.51735,                 0.2225,                 2.0062,                 1.7204,                  1.896,             0.00081001,             0.00081001,             0.00081001
                     13,                 1.7556,                 1.5966,                 1.6566,                0.65101,                0.50536,                0.56406,                0.24944,                 1.9916,                  1.649,                  1.872,             0.00080101,             0.00080101,             0.00080101
