                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.7437,                 4.4341,                 3.9173,                0.00375,                0.11622,                 0.0062,                0.00203,                 3.3089,                 4.0171,                  3.373,             0.00030192,             0.00030192,             0.00030192
                      2,                 3.1106,                 3.8224,                 3.1122,                0.37472,                0.07419,                0.03943,                0.01025,                 2.9128,                 3.6038,                 2.8681,             0.00059893,             0.00059893,             0.00059893
                      3,                 2.7313,                 3.3961,                 2.6477,                0.41419,                0.12833,                0.08142,                0.02536,                 2.6477,                 3.3399,                 2.5702,             0.00088994,             0.00088994,             0.00088994
                      4,                 2.5244,                 3.0924,                 2.3953,                0.21311,                0.16874,                0.12314,                 0.0459,                 2.4478,                 3.1488,                 2.3588,               0.000882,               0.000882,               0.000882
                      5,                 2.3721,                 2.8567,                 2.2289,                0.25789,                0.22455,                0.16968,                0.06045,                  2.419,                  2.765,                 2.3054,               0.000873,               0.000873,               0.000873
                      6,                 2.2996,                 2.6855,                 2.1265,                0.31924,                0.24591,                0.22471,                0.08482,                   2.32,                 2.5393,                 2.2112,               0.000864,               0.000864,               0.000864
                      7,                 2.2163,                 2.5219,                 2.0314,                0.33343,                0.30016,                0.25404,                0.10195,                 2.2158,                 2.3718,                 2.1069,             0.00085501,             0.00085501,             0.00085501
                      8,                 2.1514,                 2.3866,                 1.9703,                0.37516,                0.28783,                0.27405,                0.11697,                 2.1969,                 2.3455,                 2.0655,             0.00084601,             0.00084601,             0.00084601
                      9,                 2.1011,                 2.2754,                 1.9171,                0.40422,                0.37084,                0.32164,                0.13563,                 2.1942,                 2.2439,                 2.0225,             0.00083701,             0.00083701,             0.00083701
                     10,                 2.0671,                 2.1915,                  1.877,                0.39154,                0.36972,                0.33856,                0.14646,                 2.1349,                 2.1744,                 1.9859,             0.00082801,             0.00082801,             0.00082801
                     11,                 2.0212,                 2.0934,                 1.8305,                0.45272,                0.32832,                0.33179,                0.14547,                 2.0922,                 2.1253,                  1.937,             0.00081901,             0.00081901,             0.00081901
                     12,                 1.9973,                 2.0435,                 1.8036,                0.51687,                0.33235,                0.38662,                0.16822,                 2.0854,                 2.0635,                 1.9317,             0.00081001,             0.00081001,             0.00081001
